type,id,name,state
State,St001,Perlis,Perlis
State,St002,Kedah,Kedah
State,St003,Pulau Pinang,Pulau Pinang
State,St004,Perak,Perak
State,St005,Kelantan,Kelantan
State,St006,Terengganu,Terengganu
State,St007,Pahang,Pahang
State,St008,Selangor,Selangor
State,St009,WP Kuala Lumpur,WP Kuala Lumpur
State,St010,WP Putrajaya,WP Putrajaya
State,St011,Negeri Sembilan,Negeri Sembilan
State,St012,Melaka,Melaka
State,St013,Johor,Johor
State,St501,Sarawak,Sarawak
State,St502,Sabah,Sabah
State,St503,WP Labuan,WP Labuan
District,Ds001,Langkawi,Kedah
District,Ds002,Perlis,Perlis
District,Ds003,Kubang Pasu,Kedah
District,Ds004,Kota Setar,Kedah
District,Ds005,Pokok Sena,Kedah
District,Ds006,Padang Terap,Kedah
District,Ds007,Yan,Kedah
District,Ds008,Pendang,Kedah
District,Ds009,Kuala Muda,Kedah
District,Ds010,Sik,Kedah
District,Ds011,Barat Daya,Pulau Pinang
District,Ds012,Timur Laut,Pulau Pinang
District,Ds013,Seberang Perai Utara,Pulau Pinang
District,Ds014,Seberang Perai Tengah,Pulau Pinang
District,Ds015,Baling,Kedah
District,Ds016,Kulim,Kedah
District,Ds017,Seberang Perai Selatan,Pulau Pinang
District,Ds018,Bandar Baharu,Kedah
District,Ds019,Kerian,Perak
District,Ds020,"Larut, Matang Dan Selama",Perak
District,Ds021,Hulu Perak,Perak
District,Ds022,Tumpat,Kelantan
District,Ds023,Pasir Mas,Kelantan
District,Ds024,Kota Bharu,Kelantan
District,Ds025,Jeli,Kelantan
District,Ds026,Kuala Kangsar,Perak
District,Ds027,Tanah Merah,Kelantan
District,Ds028,Bachok,Kelantan
District,Ds029,Manjung,Perak
District,Ds030,Machang,Kelantan
District,Ds031,Pasir Puteh,Kelantan
District,Ds032,Kinta,Perak
District,Ds033,Perak Tengah,Perak
District,Ds034,Kuala Krai,Kelantan
District,Ds035,Kampar,Perak
District,Ds036,Bagan Datuk,Perak
District,Ds037,Besut,Terengganu
District,Ds038,Tanah Tinggi Cameron,Pahang
District,Ds039,Gua Musang,Kelantan
District,Ds040,Hilir Perak,Perak
District,Ds041,Batang Padang,Perak
District,Ds042,Setiu,Terengganu
District,Ds043,Sabak Bernam,Selangor
District,Ds044,Lipis,Pahang
District,Ds045,Muallim,Perak
District,Ds046,Kuala Nerus,Terengganu
District,Ds047,Hulu Terengganu,Terengganu
District,Ds048,Kuala Terengganu,Terengganu
District,Ds049,Kuala Selangor,Selangor
District,Ds050,Raub,Pahang
District,Ds051,Hulu Selangor,Selangor
District,Ds052,Marang,Terengganu
District,Ds053,Jerantut,Pahang
District,Ds054,Klang,Selangor
District,Ds055,Gombak,Selangor
District,Ds056,Dungun,Terengganu
District,Ds057,Petaling,Selangor
District,Ds058,Kuala Lumpur,WP Kuala Lumpur
District,Ds059,Bentong,Pahang
